,2P,2P%,2PA,3P,3PA,AST,Age,BLK,Country or State,DRB,Draft Placing,FG,FG%,FGA,FT,FTA,G,GS,Height,MP,ORB,PF,PTS,STL,Season,TOV,TRB,Tm,US or EU,Weight,Year in League,eFG%
0,1.4,53.2,2.6,0.0,0.0,0.5,25,0.3,california,2.1,40.0,1.4,0.532,2.6,0.9,1.4,79,5.0,2.1082,14.6,1.3,2.5,3.6,0.4,1987-88,0.7,3.4,BOS,US,99.79044007584076,1.0,53.2
1,0.9,47.8,1.8,0.0,0.0,0.3,26,0.1,california,1.4,40.0,0.9,0.482,1.8,0.4,0.8,62,0.0,2.1082,10.2,1.0,1.5,2.2,0.3,1988-89,0.4,2.4,BOS,US,99.79044007584076,2.0,48.699999999999996
2,1.7,48.0,3.5,0.0,0.1,0.8,27,0.3,california,3.5,40.0,1.7,0.484,3.6,1.0,1.5,80,50.0,2.1082,21.1,1.9,3.1,4.5,0.5,1989-90,0.9,5.4,ORL,US,99.79044007584076,3.0,48.9
3,1.6,51.2,3.1,0.0,0.0,0.4,28,0.4,california,3.2,40.0,1.6,0.509,3.1,1.0,1.5,68,0.0,2.1082,19.3,2.1,3.2,4.2,0.4,1990-91,0.6,5.3,ORL,US,99.79044007584076,4.0,51.2
4,1.1,52.0,2.2,0.0,0.0,0.3,29,0.2,california,2.3,40.0,1.1,0.517,2.2,0.8,1.0,68,6.0,2.1082,13.6,1.4,2.1,3.1,0.4,1991-92,0.5,3.7,ORL,US,99.79044007584076,5.0,52.0
5,1.4,53.2,2.6,0.1,0.1,0.3,30,0.3,california,2.3,40.0,1.4,0.531,2.7,0.6,0.9,18,7.0,2.1082,14.9,1.4,1.9,3.6,0.2,1992-93,0.7,3.7,TOT,US,99.79044007584076,6.0,54.1
6,0.2,14.3,1.2,0.2,0.3,0.0,30,0.0,california,0.7,40.0,0.3,0.222,1.5,0.2,0.3,6,0.0,2.1082,3.8,0.3,0.3,1.0,0.0,1992-93,0.3,1.0,HOU,US,99.79044007584076,7.0,27.800000000000004
7,2.0,60.0,3.3,0.0,0.0,0.4,30,0.5,california,3.1,40.0,2.0,0.6,3.3,0.8,1.2,12,7.0,2.1082,20.5,2.0,2.7,4.8,0.3,1992-93,0.9,5.1,WSB,US,99.79044007584076,8.0,60.0
8,2.5,52.300000000000004,4.8,0.0,0.1,1.5,20,0.6,new jersey,3.8,14.0,2.5,0.512,4.9,1.9,2.6,69,19.0,2.0828,19.8,1.7,2.0,6.9,0.5,2017-18,1.0,5.5,MIA,US,110.22307699286046,1.0,51.2
9,0.8,37.3,2.2,0.0,0.1,0.1,20,0.2,france,0.7,20.0,0.8,0.362,2.2,0.6,0.9,31,4.0,2.1844,5.9,0.3,1.1,2.3,0.2,2008-09,0.4,1.0,CHA,EU,112.49104154003864,1.0,36.199999999999996
10,0.8,50.0,1.7,0.0,0.0,0.0,21,0.2,france,0.5,20.0,0.8,0.5,1.7,0.0,0.2,6,0.0,2.1844,5.0,0.2,0.8,1.7,0.2,2009-10,0.3,0.7,CHA,EU,112.49104154003864,2.0,50.0
11,1.4,47.5,2.9,0.4,1.0,0.3,22,0.6,france,1.8,20.0,1.7,0.444,3.9,0.4,0.5,34,2.0,2.1844,10.0,0.5,2.1,4.2,0.3,2010-11,0.5,2.3,TOT,EU,112.49104154003864,3.0,48.9
12,0.9,36.0,2.5,0.3,0.7,0.2,22,0.5,france,1.2,20.0,1.2,0.375,3.2,0.2,0.3,10,2.0,2.1844,7.5,0.5,1.3,2.9,0.3,2010-11,0.1,1.7,DAL,EU,112.49104154003864,4.0,42.199999999999996
13,1.6,51.4,3.1,0.4,1.1,0.3,22,0.6,france,2.0,20.0,2.0,0.465,4.2,0.5,0.6,24,0.0,2.1844,11.0,0.5,2.5,4.8,0.3,2010-11,0.7,2.5,TOR,EU,112.49104154003864,5.0,51.0
14,2.4,54.79999999999999,4.4,0.0,0.0,0.7,25,0.8,france,3.3,20.0,2.4,0.546,4.4,1.0,1.2,56,30.0,2.1844,17.0,1.7,3.3,5.9,0.4,2013-14,1.1,4.9,NOP,EU,112.49104154003864,8.0,54.6
15,2.7,55.00000000000001,4.8,0.0,0.0,0.7,26,0.8,france,3.1,20.0,2.7,0.55,4.8,1.2,1.5,68,8.0,2.1844,14.1,1.5,2.2,6.5,0.3,2014-15,1.0,4.6,NOP,EU,112.49104154003864,9.0,55.00000000000001
16,2.5,47.8,5.3,0.0,0.0,0.5,27,0.6,france,3.3,20.0,2.5,0.476,5.3,0.9,1.1,59,17.0,2.1844,14.6,1.3,2.3,6.0,0.3,2015-16,0.9,4.6,NOP,EU,112.49104154003864,10.0,47.599999999999994
17,2.3,51.1,4.5,0.0,0.1,0.3,28,0.6,france,3.4,20.0,2.3,0.5,4.6,0.7,1.0,39,15.0,2.1844,15.0,1.2,2.0,5.3,0.5,2016-17,0.8,4.5,NOP,EU,112.49104154003864,11.0,50.0
18,1.0,54.79999999999999,1.8,0.0,0.1,0.7,23,0.4,turkey,2.4,53.0,1.0,0.513,1.9,0.3,0.7,41,9.0,2.0828,13.2,1.9,2.3,2.3,0.4,2014-15,0.4,4.3,PHI,EU,108.86229826455354,1.0,51.300000000000004
19,0.4,53.29999999999999,0.8,0.0,0.0,0.2,22,0.4,minnesota,1.2,11.0,0.4,0.5329999999999999,0.8,0.1,0.2,18,0.0,2.1082,7.9,0.7,1.7,1.0,0.3,2010-11,0.4,1.9,OKC,US,113.39822735890993,1.0,53.29999999999999
20,0.8,52.400000000000006,1.6,0.0,0.0,0.1,23,0.6,minnesota,1.3,11.0,0.8,0.524,1.6,0.5,0.5,26,0.0,2.1082,6.7,0.5,0.8,2.2,0.3,2011-12,0.3,1.8,OKC,US,113.39822735890993,2.0,52.400000000000006
21,1.0,55.00000000000001,1.8,0.0,0.0,0.2,24,0.5,minnesota,2.0,11.0,1.0,0.55,1.8,0.3,0.4,45,0.0,2.1082,8.6,0.7,1.3,2.2,0.1,2012-13,0.5,2.7,TOT,US,113.39822735890993,3.0,55.00000000000001
22,0.8,53.5,1.4,0.0,0.0,0.2,24,0.3,minnesota,1.5,11.0,0.8,0.535,1.4,0.1,0.3,30,0.0,2.1082,7.1,0.4,1.4,1.7,0.1,2012-13,0.5,1.9,HOU,US,113.39822735890993,4.0,53.5
23,1.4,56.8,2.5,0.0,0.0,0.2,24,0.9,minnesota,3.0,11.0,1.4,0.568,2.5,0.5,0.7,15,0.0,2.1082,11.7,1.2,1.3,3.3,0.1,2012-13,0.6,4.2,SAC,US,113.39822735890993,5.0,56.8
24,0.7,54.1,1.3,0.0,0.0,0.3,25,0.7,minnesota,2.0,11.0,0.7,0.541,1.3,0.6,0.7,46,2.0,2.1082,7.2,0.8,0.9,2.0,0.2,2013-14,0.4,2.8,NYK,US,113.39822735890993,6.0,54.1
25,2.4,47.8,4.9,0.0,0.0,1.2,26,1.1,minnesota,3.9,11.0,2.4,0.478,4.9,0.8,1.0,61,16.0,2.1082,16.0,1.7,2.0,5.5,0.6,2014-15,1.0,5.5,NYK,US,113.39822735890993,7.0,47.8
26,2.2,59.599999999999994,3.8,0.0,0.0,0.8,27,1.1,minnesota,3.4,11.0,2.2,0.596,3.8,1.0,1.4,60,5.0,2.1082,13.3,1.4,2.3,5.5,0.8,2015-16,1.1,4.8,LAC,US,113.39822735890993,8.0,59.599999999999994
27,0.7,52.300000000000004,1.4,0.0,0.0,0.4,28,0.4,minnesota,1.7,11.0,0.7,0.523,1.4,0.2,0.4,62,0.0,2.1082,8.6,0.8,1.4,1.7,0.4,2016-17,0.3,2.5,MIN,US,113.39822735890993,9.0,52.300000000000004
28,0.2,33.300000000000004,0.7,0.0,0.0,0.1,29,0.0,minnesota,0.6,11.0,0.2,0.333,0.7,0.1,0.3,21,0.0,2.1082,2.3,0.1,0.5,0.6,0.1,2017-18,0.0,0.7,MIN,US,113.39822735890993,10.0,33.300000000000004
