2PA,3P,AST,Age,BLK,Draft Placing,MP,PF,PTS,STL,TOV,TRB,US or EU,eFG%
2.6,0.0,0.5,25,0.3,40.0,14.6,2.5,3.6,0.4,0.7,3.4,US,53.2
1.8,0.0,0.3,26,0.1,40.0,10.2,1.5,2.2,0.3,0.4,2.4,US,48.7
3.5,0.0,0.8,27,0.3,40.0,21.1,3.1,4.5,0.5,0.9,5.4,US,48.9
3.1,0.0,0.4,28,0.4,40.0,19.3,3.2,4.2,0.4,0.6,5.3,US,51.2
2.2,0.0,0.3,29,0.2,40.0,13.6,2.1,3.1,0.4,0.5,3.7,US,52.0
2.6,0.1,0.3,30,0.3,40.0,14.9,1.9,3.6,0.2,0.7,3.7,US,54.1
1.2,0.2,0.0,30,0.0,40.0,3.8,0.3,1.0,0.0,0.3,1.0,US,27.800000000000004
3.3,0.0,0.4,30,0.5,40.0,20.5,2.7,4.8,0.3,0.9,5.1,US,60.0
4.8,0.0,1.5,20,0.6,14.0,19.8,2.0,6.9,0.5,1.0,5.5,US,51.2
2.2,0.0,0.1,20,0.2,20.0,5.9,1.1,2.3,0.2,0.4,1.0,EU,36.2
1.7,0.0,0.0,21,0.2,20.0,5.0,0.8,1.7,0.2,0.3,0.7,EU,50.0
2.9,0.4,0.3,22,0.6,20.0,10.0,2.1,4.2,0.3,0.5,2.3,EU,48.9
2.5,0.3,0.2,22,0.5,20.0,7.5,1.3,2.9,0.3,0.1,1.7,EU,42.2
3.1,0.4,0.3,22,0.6,20.0,11.0,2.5,4.8,0.3,0.7,2.5,EU,51.0
4.4,0.0,0.7,25,0.8,20.0,17.0,3.3,5.9,0.4,1.1,4.9,EU,54.6
4.8,0.0,0.7,26,0.8,20.0,14.1,2.2,6.5,0.3,1.0,4.6,EU,55.00000000000001
5.3,0.0,0.5,27,0.6,20.0,14.6,2.3,6.0,0.3,0.9,4.6,EU,47.6
4.5,0.0,0.3,28,0.6,20.0,15.0,2.0,5.3,0.5,0.8,4.5,EU,50.0
1.8,0.0,0.7,23,0.4,53.0,13.2,2.3,2.3,0.4,0.4,4.3,EU,51.3
0.8,0.0,0.2,22,0.4,11.0,7.9,1.7,1.0,0.3,0.4,1.9,US,53.29999999999999
